 310 
PlaceId,Name,Subdivision,Country,Lat,Long,Tags
1,Colorado Springs,CO,US,38.86,-104.79,
2,Akron,OH,US,41.07,-81.52,
3,Tuscaloosa,AL,US,33.21,-87.53,
4,Huntsville,AL,US,34.71,-86.6,
5,Montgomery,AL,US,32.36,-86.28,
6,Albany,NY,US,42.66,-73.78,
7,Lorman,MS,US,31.82,-91.19,
8,Washington,DC,US,38.91,-77.01,
9,Boone,NC,US,36.21,-81.67,
10,Tucson,AZ,US,32.21,-110.92,
11,Tempe,AZ,US,33.39,-111.93,
12,Fayetteville,AR,US,36.08,-94.16,
13,Jonesboro,AR,US,35.83,-90.69,
14,Little Rock,AR,US,34.74,-92.33,
15,Pine Bluff,AR,US,34.22,-92.02,
16,West Point,NY,US,41.37,-74.04,
17,Auburn,AL,US,32.6,-85.48,
18,Clarksville,TN,US,36.56,-87.36,
19,Muncie,IN,US,40.19,-85.39,
20,Waco,TX,US,31.55,-97.16,
21,Nashville,TN,US,36.15,-86.76,
22,Daytona Beach,FL,US,29.21,-81.04,
23,Binghamton,NY,US,42.1,-75.91,
24,Orem,UT,US,40.3,-111.69,
25,Boise,ID,US,43.61,-116.24,
26,Newton,MA,US,42.34,-71.21,
27,Boston,MA,US,42.32,-71.09,
28,Bowling Green,OH,US,41.37,-83.65,
29,Peoria,IL,US,40.72,-89.61,
30,Providence,RI,US,41.82,-71.42,
31,Lewisburg,PA,US,40.96,-76.89,
32,Buffalo,NY,US,42.9,-78.85,
33,Indianapolis,IN,US,39.79,-86.15,
34,Provo,UT,US,40.24,-111.66,
35,San Luis Obispo,CA,US,35.27,-120.66,
36,Fullerton,CA,US,33.88,-117.93,
37,Northridge,CA,US,34.23,-118.54,
38,Berkeley,CA,US,37.87,-122.27,
39,Buies Creek,NC,US,35.41,-78.74,
40,Shreveport,LA,US,32.47,-93.77,
41,New Britain,CT,US,41.67,-72.78,
42,Orlando,FL,US,28.53,-81.38,
43,Mount Pleasant,MI,US,43.6,-84.77,
44,Charleston,SC,US,32.79,-79.99,
45,Charlotte,NC,US,35.21,-80.83,
46,Chattanooga,TN,US,35.05,-85.27,
47,Chicago,IL,US,41.84,-87.68,
48,Cincinnati,OH,US,39.14,-84.5,
49,Clemson,SC,US,34.68,-82.81,
50,Cleveland,OH,US,41.48,-81.67,
51,Conway,SC,US,33.84,-79.06,
52,Hamilton,NY,US,42.83,-75.54,
53,Boulder,CO,US,40.02,-105.26,
54,Fort Collins,CO,US,40.56,-105.08,
55,New York,NY,US,40.7,-73.92,
56,Storrs,CT,US,41.81,-72.26,
57,Baltimore,MD,US,39.31,-76.62,
58,Ithaca,NY,US,42.44,-76.5,
59,Omaha,NE,US,41.26,-96.01,
60,Hanover,NH,US,43.7,-72.28,
61,Davidson,NC,US,35.49,-80.83,
62,Dayton,OH,US,39.76,-84.2,
63,Newark,DE,US,39.68,-75.76,
64,Dover,DE,US,39.16,-75.53,
65,Denver,CO,US,39.73,-104.97,
66,Detroit,MI,US,42.39,-83.1,
67,Des Moines,IA,US,41.59,-93.62,
68,Philadelphia,PA,US,40,-75.14,
69,Durham,NC,US,35.99,-78.91,
70,Pittsburgh,PA,US,40.44,-79.98,
71,Greenville,NC,US,35.6,-77.37,
72,Johnson City,TN,US,36.34,-82.37,
73,Charleston,IL,US,39.49,-88.18,
74,Richmond,KY,US,37.74,-84.29,
75,Ypsilanti,MI,US,42.24,-83.62,
76,Cheney,WA,US,47.49,-117.58,
77,Elon,NC,US,36.1,-79.51,
78,Evansville,IN,US,37.98,-87.55,
79,Fairfield,CT,US,41.18,-73.28,
80,Teaneck,NJ,US,40.89,-74.01,
81,Gainesville,FL,US,29.67,-82.34,
82,Tallahassee,FL,US,30.45,-84.27,
83,Boca Raton,FL,US,26.37,-80.1,
84,Miami,FL,US,25.79,-80.22,
85,Fresno,CA,US,36.78,-119.79,
86,Greenville,SC,US,34.84,-82.39,
87,Boiling Springs,NC,US,35.25,-81.66,
88,Fairfax,VA,US,38.85,-77.3,
89,Athens,GA,US,33.96,-83.38,
90,Statesboro,GA,US,32.45,-81.78,
91,Atlanta,GA,US,33.76,-84.4,
92,Spokane,WA,US,47.67,-117.41,
93,Grambling,LA,US,32.53,-92.71,
94,Hampton,VA,US,37.03,-76.36,
95,West Hartford,CT,US,41.76,-72.74,
96,Honolulu,HI,US,21.31,-157.83,
97,High Point,NC,US,35.97,-80,
98,Hempstead,NY,US,40.7,-73.62,
99,Worcester,MA,US,42.27,-71.8,
100,Houston,TX,US,29.76,-95.38,
101,Moscow,ID,US,46.73,-117,
102,Pocatello,ID,US,42.88,-112.45,
103,Champaign,IL,US,40.11,-88.26,
104,Normal,IL,US,40.51,-88.99,
105,Bloomington,IN,US,39.16,-86.53,
106,Terre Haute,IN,US,39.47,-87.39,
107,New Rochelle,NY,US,40.93,-73.78,
108,Iowa City,IA,US,41.66,-91.52,
109,Ames,IA,US,42.03,-93.63,
