 347 
ID,Name,Mascot,Prestige,Abbr,Logo,City,State,Conference,Division,TeamColor,TravelPart,Rival,PlaceId,Academics
1,Air Force,,45,AF   ,airforce,Colorado Springs,CO,21,1,#1062A9,0,,1,1
2,Akron,,60,AKRON,akron,Akron,OH,18,1,#0A1E5B,0,,2,1
3,Alabama,,77,AL   ,alabama,Tuscaloosa,AL,26,2,#A42D47,0,,3,1
4,Alabama A&M,,12,ALAM ,alabamaam,Huntsville,AL,29,1,#790000,5,,4,1
5,Alabama State,,26,ALST ,alabamastate,Montgomery,AL,29,1,#EE9D11,4,,5,1
6,Albany,,25,ALBNY,albany,Albany,NY,1,1,#331165,0,,6,1
7,Alcorn State,,9,ALCST,alcornstate,Lorman,MS,29,1,#4D3069,247,,7,1
8,American,,42,AMER ,american,Washington,DC,25,1,#353C91,0,,8,1
9,Appalachian State,,40,APST ,appalachianstate,Boone,NC,27,1,#FCD116,0,,9,1
10,Arizona,,88,AZ   ,arizona,Tucson,AZ,24,1,#102142,11,,10,1
11,Arizona State,,70,AZST ,arizonastate,Tempe,AZ,24,1,#8E0C3A,10,,11,1
12,Arkansas,,72,AR   ,arkansas,Fayetteville,AR,26,2,#9C1831,0,,12,1
13,Arkansas State,,31,ARST ,arkansasstate,Jonesboro,AR,30,2,#E81018,0,,13,1
14,Arkansas-Little Rock,,39,ARLR ,arkansaslittlerock,Little Rock,AR,30,2,#993333,0,,14,1
15,Arkansas-Pine Bluff,,11,ARPB ,arkansaspinebluff,Pine Bluff,AR,29,1,#FFBD24,165,,15,1
16,Army,,13,ARMY ,army,West Point,NY,25,1,#CE9C00,0,,16,1
17,Auburn,,68,AUBRN,auburn,Auburn,AL,26,2,#002649,0,,17,1
18,Austin Peay,,54,ASTNP,austinpeay,Clarksville,TN,23,1,#C41E3A,265,,18,1
19,Ball State,,38,BLST ,ballstate,Muncie,IN,18,2,#DE0000,0,,19,1
20,Baylor,,64,BAYLR,baylor,Waco,TX,5,2,#004833,0,,20,1
21,Belmont,,50,BLMNT,belmont,Nashville,TN,4,1,#182142,0,,21,1
22,Bethune-Cookman,,12,BTHCK,bethunecookman,Daytona Beach,FL,19,1,#7B1831,0,,22,1
23,Binghamton,,34,BINGH,binghamton,Binghamton,NY,1,1,#00614A,0,,23,1
24,Utah Valley,,21,UTV  ,utahvalley,Orem,UT,13,1,#004812,0,,24,1
25,Boise State,,53,BSST ,boisestate,Boise,ID,32,1,#29299C,0,,25,1
26,Boston College,,77,BSCOL,bostoncollege,Newton,MA,3,1,#222222,0,,26,1
27,Boston University,,43,BOSU ,bostonu,Boston,MA,1,1,#CC0000,0,,27,1
28,Bowling Green,,45,BLGRN,bowlinggreen,Bowling Green,OH,18,1,#F04C27,0,,28,1
29,Bradley,,63,BRDLY,bradley,Peoria,IL,20,1,#B70002,0,,29,1
30,Brown,,30,BROWN,brown,Providence,RI,15,1,#593D2B,325,,30,1
31,Bucknell,,35,BKNL ,bucknell,Lewisburg,PA,25,1,#000060,0,,31,1
32,Buffalo,,40,BUFF ,buffalo,Buffalo,NY,18,1,#004A84,0,,32,1
33,Butler,,82,BTLR ,butler,Indianapolis,IN,14,1,#004F87,297,,33,1
34,Brigham Young,,84,BYU  ,brighamyoung,Provo,UT,21,1,#002942,0,,34,1
35,Cal Poly,,21,CLPLY,calpoly,San Luis Obispo,CA,10,1,#004231,0,,35,1
36,Cal State Fullerton,,34,CSFTN,calstatefullerton,Fullerton,CA,10,1,#004A7B,0,,36,1
37,Cal State Northridge,,44,CSNTH,calstatenorthridge,Northridge,CA,10,1,#B50000,0,,37,1
38,California,,80,CAL  ,california,Berkeley,CA,24,1,#002942,257,,38,1
39,Campbell,,14,CPBL ,campbell,Buies Creek,NC,4,1,#FF7F00,0,,39,1
40,Canisius,,24,CANSS,canisius,Buffalo,NY,16,1,#002649,0,,32,1
41,Centenary,,11,CNTRY,centenary,Shreveport,LA,17,1,#A20B36,202,,40,1
42,Central Connecticut State,,33,CNCON,centralconnecticut,New Britain,CT,22,1,#1E489C,0,,41,1
43,Central Florida,,49,CFL  ,centralflorida,Orlando,FL,12,1,#222222,0,,42,1
44,Central Michigan,,30,CMU  ,centralmichigan,Mount Pleasant,MI,18,2,#7B0000,0,,43,1
45,Charleston Southern,,9,CHSTH,charlestonsouthern,Charleston,SC,8,1,#2E3192,52,,44,1
46,Charlotte,,71,CHRLT,charlotte,Charlotte,NC,2,1,#0C562D,0,,45,1
47,Chattanooga,,44,CHATT,chattanooga,Chattanooga,TN,27,1,#253B81,0,,46,1
48,Chicago State,,17,CH ST,chicagostate,Chicago,IL,13,1,#006700,0,,47,1
49,Cincinnati,,80,CINN ,cincinnati,Cincinnati,OH,6,1,#252525,0,,48,1
50,Clemson,,75,CLMSN,clemson,Clemson,SC,3,1,#F35B0F,0,,49,1
51,Cleveland State,,46,CLST ,clevelandstate,Cleveland,OH,14,1,#116644,326,,50,1
52,Coastal Carolina,,21,CSTCA,coastalcarolina,Conway,SC,8,1,#59A0A0,45,,51,1
53,Colgate,,22,COLG ,colgate,Hamilton,NY,25,1,#910028,0,,52,1
54,College of Charleston,,58,CLCHA,collegeofcharleston,Charleston,SC,27,2,#9E8249,0,,44,1
55,Colorado,,58,CO   ,colorado,Boulder,CO,5,1,#000200,0,,53,1
56,Colorado State,,47,COST ,coloradostate,Fort Collins,CO,21,1,#076D54,0,,54,1
57,Columbia,,18,COLUM,columbia,New York,NY,15,1,#80BEE8,60,,55,1
58,Connecticut,,90,UCONN,connecticut,Storrs,CT,6,1,#091D5A,0,,56,1
59,Coppin State,,24,CPST ,coppinstate,Baltimore,MD,19,1,#2E3192,0,,57,1
60,Cornell,,40,CRNL ,cornell,Ithaca,NY,15,1,#D60027,57,,58,1
61,Creighton,,82,CRHTN,creighton,Omaha,NE,20,1,#13299E,0,,59,1
62,Dartmouth,,6,DTMTH,dartmouth,Hanover,NH,15,1,#005730,104,,60,1
63,Davidson,,62,DAVDS,davidson,Davidson,NC,27,2,#E71A39,0,,61,1
64,Dayton,,81,DYTN ,dayton,Dayton,OH,2,1,#E50B0D,0,,62,1
65,Delaware,,40,DLWR ,delaware,Newark,DE,11,1,#0068A9,0,,63,1
66,Delaware State,,30,DLST ,delawarestate,Dover,DE,19,1,#FF3630,0,,64,1
67,Denver,,28,DNVR ,denver,Denver,CO,30,2,#9C143D,0,,65,1
68,DePaul,,58,DEPL ,depaul,Chicago,IL,6,1,#2D649C,0,,47,1
69,Detroit,,44,DTRT ,detroit,Detroit,MI,14,1,#165B9E,322,,66,1
70,Drake,,50,DRAKE,drake,Des Moines,IA,20,1,#0D1361,0,,67,1
71,Drexel,,53,DRXL ,drexel,Philadelphia,PA,11,1,#020260,0,,68,1
72,Duke,,98,DUKE ,duke,Durham,NC,3,1,#00519B,0,,69,1
73,Duquesne,,45,DQSN ,duquesne,Pittsburgh,PA,2,1,#283A61,0,,70,1
74,East Carolina,,30,ESTCA,eastcarolina,Greenville,NC,12,1,#4B1869,0,,71,1
75,East Tennessee State,,51,ETNST,easttennesseestate,Johnson City,TN,4,1,#00378A,0,,72,1
76,Eastern Illinois,,22,EILL ,easternillinois,Charleston,IL,23,1,#003399,242,,73,1
77,Eastern Kentucky,,31,EKTKY,easternkentucky,Richmond,KY,23,1,#75263D,170,,74,1
78,Eastern Michigan,,21,EMICH,easternmichigan,Ypsilanti,MI,18,2,#385242,0,,75,1
79,Eastern Washington,,34,EWASH,easternwashington,Cheney,WA,7,1,#D72D35,0,,76,1
80,Elon,,20,ELON ,elon,Elon,NC,27,1,#020303,0,,77,1
81,Evansville,,39,EVNS ,evansville,Evansville,IN,20,1,#663399,0,,78,1
82,Fairfield,,50,FRFLD,fairfield,Fairfield,CT,16,1,#D82D39,0,,79,1
83,Fairleigh Dickinson,,23,FADK ,fairleighdickinson,Teaneck,NJ,22,1,#AB2941,0,,80,1
84,Florida,,89,FL   ,florida,Gainesville,FL,26,1,#2A42CE,0,,81,1
85,Florida A&M,,16,FLAM ,floridaam,Tallahassee,FL,19,1,#FF7329,0,,82,1
86,Florida Atlantic,,23,FLATL,floridaatlantic,Boca Raton,FL,30,1,#00386B,0,,83,1
87,Florida International,,20,FLINT,floridainternational,Miami,FL,30,1,#002D62,0,,84,1
88,Florida State,,75,FLST ,floridastate,Tallahassee,FL,3,1,#B72931,0,,82,1
89,Fordham,,34,FDHM ,fordham,New York,NY,2,1,#A50019,0,,55,1
90,Fresno State,,55,FRST ,fresnostate,Fresno,CA,32,1,#D81C3F,0,,85,1
91,Furman,,20,FRMN ,furman,Greenville,SC,27,2,#4A2184,0,,86,1
92,Gardner Webb,,24,GRDWB,gardnerwebb,Boiling Springs,NC,8,1,#CF0000,290,,87,1
93,George Mason,,68,GGMSN,georgemason,Fairfax,VA,11,1,#016600,0,,88,1
94,George Washington,,58,GGWA ,georgewashington,Washington,DC,2,1,#002843,0,,8,1
95,Georgetown,,85,GTOWN,georgetown,Washington,DC,6,1,#4B4B7C,0,,8,1
96,Georgia,,67,GA   ,georgia,Athens,GA,26,1,#D60022,0,,89,1
97,Georgia Southern,,33,GASO ,georgiasouthern,Statesboro,GA,27,2,#0A3861,0,,90,1
98,Georgia State,,37,GAST ,georgiastate,Atlanta,GA,11,1,#015DAB,0,,91,1
99,Georgia Tech,,74,GATC ,georgiatech,Atlanta,GA,3,1,#CFB53B,0,,91,1
100,Gonzaga,,85,GONZG,gonzaga,Spokane,WA,31,1,#002967,210,,92,1
101,Grambling State,,5,GRMBL,grambling,Grambling,LA,29,1,#EE8601,123,,93,1
102,Hampton,,33,HAMPT,hampton,Hampton,VA,19,1,#2E3192,0,,94,1
103,Hartford,,20,HRTFD,hartford,West Hartford,CT,1,1,#D60008,0,,95,1
104,Harvard,,29,HRVRD,harvard,Boston,MA,15,1,#990000,62,,27,1
105,Hawaii,,50,HI   ,hawaii,Honolulu,HI,32,1,#004231,0,,96,1
106,High Point,,17,HHPT ,highpoint,High Point,NC,8,1,#263996,217,,97,1
107,Hofstra,,56,HFSTR,hofstra,Hempstead,NY,11,1,#27297C,0,,98,1
108,Holy Cross,,46,HLYCR,holycross,Worcester,MA,25,1,#0A0A0A,0,,99,1
109,Houston,,63,HOU  ,houston,Houston,TX,12,1,#E73139,0,,100,1
110,Howard,,4,HWRD ,howard,Washington,DC,19,1,#9E0B0E,0,,8,1
111,Idaho,,26,ID   ,idaho,Moscow,ID,32,1,#CEBE70,0,,101,1
112,Idaho State,,23,IDST ,idahostate,Pocatello,ID,7,1,#EF8C00,0,,102,1
113,Illinois,,87,IL   ,illinois,Champaign,IL,9,1,#F77329,0,,103,1
114,Illinois State,,62,ILST ,illinoisstate,Normal,IL,20,1,#D72D35,0,,104,1
115,Illinois-Chicago,,48,ILCHI,illinoischicago,Chicago,IL,14,1,#234077,143,,47,1
116,Indiana,,73,IN   ,indiana,Bloomington,IN,9,1,#DE3129,0,,105,1
