=== Project Charm :: Season (Pass 2: minimal season loop) ===
World: worlds\stock-d1.world.json (347 schools, 32 conferences)
Season seed: 20260720
Schedule fingerprint: 93d8c8532ddb937b88a514e2087765df3860f0f2a76e0360887f4d0108194c15
Schedule: 5205 games ΓÇö 16 conference + 14 non-conference per team, 15 home / 15 away, neutral floors (the road seam is 0).

Regenerating divvied rosters (world + seed; nothing persisted) and playing 5205 real engine games ...
  ... 500/5205 games played
  ... 1000/5205 games played
  ... 1500/5205 games played
  ... 2000/5205 games played
  ... 2500/5205 games played
  ... 3000/5205 games played
  ... 3500/5205 games played
  ... 4000/5205 games played
  ... 4500/5205 games played
  ... 5000/5205 games played

--- STANDINGS (all 347, ranked by W-L; ties broken by school id) ---
  rk   school                    conf       pres   W-L
  1    Portland State (PTLST)    Big Sky      38   28-2
  2    Stanford (STAN)           Pacific-10   81   26-4
  3    UC Santa Barbara (UCSB)   Big West     49   26-4
  4    Wichita State (WCST)      MVC          60   26-4
  5    Milwaukee (MILW)          Horizon League   61   26-4
  6    Davidson (DAVDS)          Southern     62   25-5
  7    Georgia State (GAST)      CAA          37   25-5
  8    Gonzaga (GONZG)           WCC          85   25-5
  9    New Mexico (NM)           Mountain West   71   25-5
  10   Niagara (NIAGA)           MAAC         59   25-5
  11   VCU (VACM)                CAA          70   25-5
  12   Seattle (SEA)             Independent   38   25-5
  13   Bowling Green (BLGRN)     MAC          45   24-6
  14   Connecticut (UCONN)       Big East     90   24-6
  15   Memphis (MMPHS)           Conference USA   87   24-6
  16   Murray State (MRYST)      Ohio Valley   57   24-6
  17   St. John's (STJN)         Big East     65   24-6
  18   Utah State (UTST)         WAC          83   24-6
  19   Vermont (VRMT)            America East   52   24-6
  20   Cornell (CRNL)            Ivy League   40   23-7
  21   Dayton (DYTN)             Atlantic 10   81   23-7
  22   Florida State (FLST)      ACC          75   23-7
  23   Georgia (GA)              SEC          67   23-7
  24   Oakland (OAK)             Summit       48   23-7
  25   Saint Mary's (STMRY)      WCC          59   23-7
  26   Appalachian State (APST)  Southern     40   22-8
  27   Baylor (BAYLR)            Big 12       64   22-8
  28   Butler (BTLR)             Horizon League   82   22-8
  29   Brigham Young (BYU)       Mountain West   84   22-8
  30   Florida (FL)              SEC          89   22-8
  31   Jacksonville (JK)         Atlantic Sun   36   22-8
  32   Mississippi State (MS ST) SEC          83   22-8
  33   Oklahoma (OK)             Big 12       87   22-8
  34   Old Dominion (OLDDM)      CAA          64   22-8
  35   Pittsburgh (PITT)         Big East     92   22-8
  36   St. Bonaventure (STBN)    Atlantic 10   41   22-8
  37   Texas A&M (TXAM)          Big 12       72   22-8
  38   UAB (UAB)                 Conference USA   77   22-8
  39   UC Irvine (UCIR)          Big West     40   22-8
  40   Weber State (WBST)        Big Sky      50   22-8
  41   Arizona (AZ)              Pacific-10   88   21-9
  42   Austin Peay (ASTNP)       Ohio Valley   54   21-9
  43   California (CAL)          Pacific-10   80   21-9
  44   Charlotte (CHRLT)         Atlantic 10   71   21-9
  45   Georgia Southern (GASO)   Southern     33   21-9
  46   Hawaii (HI)               WAC          50   21-9
  47   Indiana (IN)              Big Ten      73   21-9
  48   IUPUI (IUPUI)             Summit       45   21-9
  49   Kentucky (KY)             SEC          91   21-9
  50   Lehigh (LEHGH)            Patriot League   26   21-9
  51   Providence (PRVD)         Big East     69   21-9
  52   Texas-Arlington (TXAR)    Southland    33   21-9
  53   Villanova (VLNV)          Big East     90   21-9
  54   Western Kentucky (WKY)    Sun Belt     71   21-9
  55   Kennesaw State (KNST)     Atlantic Sun    8   21-9
  56   Akron (AKRON)             MAC          60   20-10
  57   Arkansas (AR)             SEC          72   20-10
  58   College of Charleston (CLCHA)Southern     58   20-10
  59   Houston (HOU)             Conference USA   63   20-10
  60   Louisiana State (LA ST)   SEC          71   20-10
  61   Mississippi (MS)          SEC          76   20-10
  62   Morgan State (MGNST)      MEAC         27   20-10
  63   Northern Iowa (NTHIA)     MVC          66   20-10
  64   Ohio State (OH ST)        Big Ten      88   20-10
  65   Oral Roberts (ORLRB)      Summit       54   20-10
  66   Princeton (PRNC)          Ivy League   38   20-10
  67   San Diego State (SDGST)   Mountain West   70   20-10
  68   Tennessee-Martin (TNMN)   Ohio Valley   23   20-10
  69   Texas (TX)                Big 12       94   20-10
  70   UCLA (UCLA)               Pacific-10   84   20-10
  71   Virginia Tech (VATC)      ACC          66   20-10
  72   Wisconsin (WI)            Big Ten      92   20-10
  73   Xavier (XAVR)             Atlantic 10   88   20-10
  74   Binghamton (BINGH)        America East   34   19-11
  75   Clemson (CLMSN)           ACC          75   19-11
  76   Coastal Carolina (CSTCA)  Big South    21   19-11
  77   Detroit (DTRT)            Horizon League   44   19-11
  78   Duke (DUKE)               ACC          98   19-11
  79   East Tennessee State (ETNST)Atlantic Sun   51   19-11
  80   Evansville (EVNS)         MVC          39   19-11
  81   Iona (IONA)               MAAC         44   19-11
  82   Kent State (KNTST)        MAC          76   19-11
  83   Massachusetts (UMASS)     Atlantic 10   61   19-11
  84   Michigan (MICH)           Big Ten      68   19-11
  85   Nevada (NV)               WAC          70   19-11
  86   Ohio (OHIO)               MAC          60   19-11
  87   Pennsylvania (PA)         Ivy League   44   19-11
  88   Purdue (PRDUE)            Big Ten      80   19-11
  89   Radford (RDFD)            Big South    28   19-11
  90   South Alabama (STAL)      Sun Belt     51   19-11
  91   Syracuse (SYR)            Big East     92   19-11
  92   Temple (TMPL)             Atlantic 10   81   19-11
  93   Tulsa (TLSA)              Conference USA   70   19-11
  94   UNLV (UNLV)               Mountain West   80   19-11
  95   Washington (WASH)         Pacific-10   73   19-11
  96   Western Michigan (WMCH)   MAC          47   19-11
  97   Alabama A&M (ALAM)        SWAC         12   18-12
  98   American (AMER)           Patriot League   42   18-12
  99   Utah Valley (UTV)         Independent   21   18-12
  100  Central Connecticut State (CNCON)Northeast    33   18-12
  101  Creighton (CRHTN)         MVC          82   18-12
  102  Delaware State (DLST)     MEAC         30   18-12
  103  George Washington (GGWA)  Atlantic 10   58   18-12
  104  Georgia Tech (GATC)       ACC          74   18-12
  105  Illinois (IL)             Big Ten      87   18-12
  106  Long Beach State (LB ST)  Big West     36   18-12
  107  Louisville (LSVLE)        Big East     88   18-12
  108  Marquette (MRQT)          Big East     84   18-12
  109  Miami (MIAMI)             ACC          74   18-12
  110  Middle Tennessee (MTNST)  Sun Belt     47   18-12
  111  Norfolk State (NRFST)     MEAC         15   18-12
  112  North Carolina (NC)       ACC          90   18-12
  113  Northwestern State (NW ST)Southland    28   18-12
  114  Oklahoma State (OK ST)    Big 12       87   18-12
  115  Pacific (PCFC)            Big West     53   18-12
  116  Penn State (PA ST)        Big Ten      54   18-12
  117  Rhode Island (RI)         Atlantic 10   59   18-12
  118  South Florida (STFL)      Big East     52   18-12
  119  Southern Illinois (SNIL)  MVC          75   18-12
  120  Southern Methodist (SMU)  Conference USA   40   18-12
  121  St. Francis-PA (SFPA)     Northeast    11   18-12
  122  Saint Joseph's (STJOE)    Atlantic 10   75   18-12
  123  Tennessee Tech (TNTC)     Ohio Valley   39   18-12
  124  Vanderbilt (VNDY)         SEC          83   18-12
  125  South Dakota (SD)         Independent   32   18-12
  126  North Dakota State (NDSU) Summit       42   18-12
  127  Alabama (AL)              SEC          77   17-13
  128  Alabama State (ALST)      SWAC         26   17-13
  129  Arkansas-Little Rock (ARLR)Sun Belt     39   17-13
  130  Belmont (BLMNT)           Atlantic Sun   50   17-13
  131  Boston University (BOSU)  America East   43   17-13
  132  Canisius (CANSS)          MAAC         24   17-13
  133  Cincinnati (CINN)         Big East     80   17-13
  134  Colorado State (COST)     Mountain West   47   17-13
  135  Delaware (DLWR)           CAA          40   17-13
  136  Drexel (DRXL)             CAA          53   17-13
  137  George Mason (GGMSN)      CAA          68   17-13
